bathymetry_cuts,bathymetry_grades,coast_dist_cuts,coast_dist_grades,legislation_cuts,legislation_grades,trawl_fleet_cuts,trawl_fleet_grades,seine_fleet_cuts,seine_fleet_grades,marine_traffic_cuts,marine_traffic_grades,chlorophyl_cuts,chlorophyl_grades
-999.00,,-999.00,,-999.00,,-999.00,,-999.00,,-999.00,,-999.00,0.00
0.00,4.00,0.00,4.00,0.00,4.00,0.00,1.00,0.00,1.00,0.00,0.00,0.10,1.00
50.00,3.00,1.50,3.00,3.00,3.00,0.20,2.00,0.20,2.00,1.00,1.00,0.23,2.00
100.00,2.00,3.00,2.00,6.00,2.00,0.40,3.00,0.40,3.00,2.00,2.00,0.46,3.00
200.00,1.00,6.00,1.00,11.00,0.00,0.80,4.00,0.80,4.00,3.00,3.00,0.79,4.00
500.00,0.00,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
